ind,Un-LDA-Km Predicted Label,Un-RTLDA Predicted Label,Un-TRLDA Predicted Label,SWULDA Predicted Label,Un-RT(CD)LDA Predicted Label,Un-TR(CD)LDA Predicted Label,Un-RT(A)LDA Predicted Label,Un-TR(A)LDA Predicted Label,Semisupervised-DAPC Predicted Label,Supervised-DAPC Predicted Label
8YAM005,5,6,0,7,7,0,0,0,1,15
8YAM006,10,8,0,6,7,0,1,1,2,15
8YAM007,10,8,0,6,10,1,1,1,2,15
9BFC001,4,1,1,13,5,0,9,0,1,5
9BFE001,4,1,1,13,1,0,9,0,1,5
9BFH001,6,3,1,5,4,0,10,0,1,5
9BFJ001,6,3,1,12,7,0,10,0,1,5
9BFR001,6,3,1,8,8,0,10,0,1,5
9BKR014,1,4,1,2,5,0,2,0,1,16
9BKR021,10,8,1,10,9,0,0,0,2,16
9BKR022,6,3,1,5,5,0,10,0,1,16
9BKR023,6,3,1,12,1,0,10,0,1,16
9BKR024,6,3,1,2,11,0,10,0,1,16
9BKR025,6,3,1,5,7,0,10,0,1,16
9BKR041,1,4,1,13,1,0,6,0,1,16
9BTL002,1,4,1,13,4,0,2,0,1,8
9C15001,6,3,1,5,13,0,10,0,1,17
9C15002,6,3,1,5,1,0,10,0,1,17
9C15003,6,3,1,13,0,0,10,0,1,17
9C15004,6,3,1,5,9,0,10,0,1,17
9C15005,6,3,1,5,7,0,10,0,1,17
9C15006,6,3,1,5,2,0,10,0,1,17
9C15021,9,5,1,8,6,0,8,0,1,17
9C15022,9,5,1,8,13,0,8,0,1,17
9C15023,9,5,1,9,7,0,8,0,1,17
9C15024,9,5,1,2,11,0,8,0,1,17
9DES001,5,6,0,11,11,1,1,1,2,18
9DES003,5,6,0,11,4,1,1,1,2,18
9DES04,0,0,0,1,8,1,3,1,2,18
9DES05,0,0,0,7,5,1,3,1,2,18
9DES06,0,0,0,7,5,1,3,1,2,18
9DES07,0,0,0,7,7,1,3,1,2,18
9DES08,0,0,0,7,5,1,3,1,2,18
9DES09,0,0,0,11,0,1,3,1,2,18
9DES10,0,0,0,7,1,1,3,1,2,18
9DES11,6,3,1,8,13,0,10,0,1,18
9DES12,0,0,0,7,13,1,3,1,2,18
9DES13,0,0,0,7,2,1,3,1,2,18
9DES14,5,6,0,11,7,1,3,1,2,18
9DES15,0,0,0,7,10,1,3,1,2,18
9DES16,0,0,0,11,0,1,3,1,2,18
9DES17,0,0,0,11,7,1,3,1,2,18
9DES18,0,0,0,7,2,1,3,1,2,18
9DES19,0,0,0,7,1,1,3,1,2,18
9DES20,0,0,0,11,7,1,3,1,2,18
9DES21,0,0,0,11,7,1,3,1,2,18
9DES22,0,0,0,7,9,1,3,1,2,18
9DES23,0,0,0,7,7,1,3,1,2,18
9DES24,0,0,0,11,4,1,3,1,2,18
9ECC001,2,10,1,3,11,0,4,0,1,19
9ECC002,2,10,1,3,7,0,4,0,1,19
9ECC003,2,10,1,3,6,0,4,0,1,19
9ECC004,2,10,1,3,7,0,4,0,1,19
9ECC005,2,10,1,3,7,0,4,0,1,19
9ECC006,2,10,1,3,1,0,4,0,1,19
9ECC007,2,10,1,3,7,0,4,0,1,19
9ECC008,2,10,1,3,11,0,4,0,1,19
9ECC009,2,10,1,3,7,0,4,0,1,19
9ECC010,2,10,1,3,8,0,4,0,1,19
9ECC011,2,10,1,3,3,0,4,0,1,19
9ECC012,2,10,1,3,9,0,4,0,1,19
9ECC013,2,10,1,3,7,0,4,0,1,19
9ECC014,2,10,1,3,7,0,4,0,1,19
9ECC015,2,10,1,3,7,0,4,0,1,19
9ECC016,2,10,1,3,1,0,4,0,1,19
9FRL001,1,4,1,6,7,0,2,0,1,8
9GRU001,1,4,1,6,10,0,2,0,1,5
9HMB001,4,1,1,13,10,0,9,0,1,5
9HMF001,6,3,1,5,6,0,10,0,1,5
9HMF002,4,1,1,0,12,0,6,0,1,5
9HMH001,1,4,1,13,7,0,10,0,1,5
9HMJ001,6,3,1,13,12,0,10,0,1,5
9HMJ002,4,1,1,13,12,0,9,0,1,5
9HMN001,4,1,1,13,12,0,6,0,1,5
9HMR002,4,1,1,13,12,0,9,0,1,5
9HMX001,4,1,1,2,6,0,9,0,1,5
9LHL002,6,3,1,5,7,0,10,0,1,8
9LYC001,4,1,1,13,9,0,6,0,1,11
9LYC002,6,3,1,5,7,0,10,0,1,11
9LYC003,6,3,1,13,12,0,10,0,1,11
9LYC004,6,3,1,13,5,0,10,0,1,11
9LYC005,6,3,1,13,5,0,10,0,1,11
9LYC006,6,3,1,13,5,0,10,0,1,11
9LYC007,6,3,1,13,12,0,10,0,1,11
9MCJ001,9,5,1,8,12,0,8,0,1,5
9MCO001,1,4,1,13,2,0,6,0,1,4
9MCO003,9,5,1,5,12,0,2,0,1,4
9MCO004,9,5,1,5,9,0,2,0,1,4
9MCO005,9,5,1,5,13,0,2,0,1,4
9MCO006,1,4,1,6,2,0,2,0,1,4
9MCO007,1,4,1,13,6,0,2,0,1,4
9MCO008,9,5,1,9,12,0,2,0,1,4
9MCO009,9,5,1,5,12,0,2,0,1,4
9MCO010,9,5,1,9,12,0,2,0,1,4
9MCO011,9,5,1,9,12,0,8,0,1,4
9MCS001,1,4,1,13,12,0,6,0,1,5
9MCS003,4,1,1,13,12,0,9,0,1,5
9MCS004,4,1,1,13,12,0,9,0,1,5
9MCT001,4,1,1,13,12,0,9,0,1,5
9MCT002,4,1,1,13,12,0,9,0,1,5
9MCW001,4,1,1,13,12,0,6,0,1,5
9MCW002,4,1,1,13,9,0,6,0,1,5
9MDC001,6,3,1,5,9,0,10,0,1,3
9MDC002,6,3,1,5,2,0,10,0,1,3
9MKH001,6,3,1,5,7,0,10,0,1,3
